iter	Logloss
0	0.6662055585
1	0.6425565441
2	0.6276828767
3	0.6099924461
4	0.5855584615
5	0.5665303609
6	0.5559010539
7	0.5402420841
8	0.526674568
9	0.5115562959
10	0.4965949439
11	0.4850432942
12	0.4778261799
13	0.4683535176
14	0.462017253
15	0.4591318578
16	0.4535927699
17	0.4454456323
18	0.4363980447
19	0.4283077447
20	0.4218338605
21	0.4156007027
22	0.4054108782
23	0.400623642
24	0.3921069541
25	0.3876105294
26	0.3811946828
27	0.3775651237
28	0.3689762055
29	0.3659869816
30	0.3604815615
31	0.3558355754
32	0.354241713
33	0.3499494577
34	0.3474544714
35	0.343023282
36	0.3366674791
37	0.332813733
38	0.3307565672
39	0.3287757635
40	0.3253256515
41	0.3223658368
42	0.3189878533
43	0.317784264
44	0.3143246371
45	0.3096539386
46	0.3076743835
47	0.3032925487
48	0.2980133843
49	0.2945852529
50	0.2924628211
51	0.2903103648
52	0.2885377419
53	0.2854150904
54	0.2824740416
55	0.2806188483
56	0.2780091486
57	0.2749793929
58	0.2733922033
59	0.2720022294
60	0.2708988044
61	0.2686118443
62	0.2647143096
63	0.2631079943
64	0.2622980977
65	0.2605482921
66	0.2571164654
67	0.2551409448
68	0.2537978666
69	0.2501197769
70	0.2469935132
71	0.2438030288
72	0.2424768001
73	0.2402381279
74	0.2385670647
75	0.2348153017
76	0.2320637615
77	0.2292342416
78	0.2272196678
79	0.2257031632
80	0.2245435029
81	0.221165494
82	0.2178906457
83	0.2156713898
84	0.2141247906
85	0.212357768
86	0.2105905252
87	0.2087135948
88	0.2073660864
89	0.2043909306
90	0.2026797701
91	0.2004845779
92	0.1978127803
93	0.1970075592
94	0.1940917094
95	0.191370481
96	0.1888840898
97	0.1882190193
98	0.1855141749
99	0.1845037907
100	0.1830806502
101	0.1808352558
102	0.1790935019
103	0.1779752655
104	0.176254154
105	0.1748589371
106	0.172485041
107	0.1708158123
108	0.1686736143
109	0.1672506371
110	0.1654575273
111	0.1645829821
112	0.1630093432
113	0.1608098078
114	0.1591216086
115	0.1575758284
116	0.1564937507
117	0.1547068882
118	0.1536347747
119	0.1522676284
120	0.151520609
121	0.1498271736
122	0.1478616553
123	0.1465482052
124	0.1451396494
125	0.1437334994
126	0.1419247803
127	0.1408020846
128	0.1401749203
129	0.1392091974
130	0.1367583759
131	0.1359434401
132	0.1344488518
133	0.1324089789
134	0.1302341854
135	0.1288698197
136	0.1274693861
137	0.1266661129
138	0.124331779
139	0.1231287639
140	0.1216754006
141	0.1196537353
142	0.1188908227
143	0.1172850761
144	0.1156918997
145	0.1137255667
146	0.1123554583
147	0.1114568928
148	0.1100139502
149	0.1089802479
150	0.107778521
151	0.1061393831
152	0.1047315846
153	0.1037570946
154	0.102840058
155	0.1016717095
156	0.1008361757
157	0.09948295145
158	0.0983556638
159	0.09747532957
160	0.09667163804
161	0.09519003126
162	0.09370262766
163	0.09306775616
164	0.09189693659
165	0.09109277911
166	0.09013297199
167	0.0895432636
168	0.08829439481
169	0.08733287761
170	0.08626463671
171	0.08513294926
172	0.08378602468
173	0.08321961268
174	0.08211526096
175	0.08136492898
176	0.08086207243
177	0.08004842664
178	0.07957909916
179	0.07883303358
180	0.07804584839
181	0.07757524148
182	0.07721448025
183	0.07629982234
184	0.07541822075
185	0.07497897645
186	0.07452969722
187	0.07415538603
188	0.07375196259
189	0.07280742887
190	0.07241196826
191	0.0721757389
192	0.07164331028
193	0.0709162976
194	0.07025189063
195	0.06956992548
196	0.06915829628
197	0.06888576565
198	0.06815918175
199	0.06754933772
200	0.06673447714
201	0.06638549887
202	0.06589430607
203	0.06552613476
204	0.06476213121
205	0.06434862472
206	0.06359796213
207	0.06337500688
208	0.06269197042
209	0.0619653364
210	0.06114225214
211	0.06062120521
212	0.06027593602
213	0.05988322053
214	0.05945507315
215	0.05915382901
216	0.05883949153
217	0.05840160669
218	0.05809177756
219	0.05751939877
220	0.05724345867
221	0.05666757807
222	0.05635910047
223	0.05607764888
224	0.05589931565
225	0.0554262633
226	0.05500424214
227	0.05476322859
228	0.05418255879
229	0.05399542954
230	0.05383336408
231	0.0535865433
232	0.05332254104
233	0.05294227412
234	0.05255976225
235	0.05238880553
236	0.0521632826
237	0.05192199668
238	0.05150768687
239	0.0509446919
240	0.05072716334
241	0.05031381483
242	0.04957788641
243	0.04930942067
244	0.04903279164
245	0.04854664904
246	0.04833713426
247	0.04802323458
248	0.04752071821
249	0.0473291105
250	0.04710974696
251	0.046460059
252	0.04632785008
253	0.04595790636
254	0.04573143734
255	0.04543941315
256	0.04532226141
257	0.04514265999
258	0.04486226307
259	0.0446768659
260	0.04456150553
261	0.04444795603
262	0.0442835957
263	0.04375056322
264	0.04356528626
265	0.04303433015
266	0.04293951481
267	0.04261684708
268	0.04240681439
269	0.04220043041
270	0.04202008478
271	0.04159394229
272	0.04147089286
273	0.04130197376
274	0.04114254022
275	0.04076687926
276	0.04058993126
277	0.04037300998
278	0.04014914401
279	0.03993461389
280	0.03984872495
281	0.03965036974
282	0.03942747591
283	0.03932913474
284	0.0390583577
285	0.03889096756
286	0.03864039764
287	0.03838138697
288	0.03806011064
289	0.03777192448
290	0.03758660224
291	0.03745418914
292	0.03721927949
293	0.03700703669
294	0.03687878607
295	0.03668159079
296	0.03628097683
297	0.03598968765
298	0.03573358877
299	0.03558122157
